segment_no,vector_row
050308_SEG_CURR_NEXT_00230,607
050308_SEG_TURN_00235,608
050606_SEG_PREV_CURR_00956,609
050606_SEG_CURR_NEXT_00955,610
050308_SEG_CURR_NEXT_00234,611
050308_SEG_PREV_CURR_00235,612
050308_SEG_TURN_00318,613
050350_SEG_TURN_00932,614
050308_SEG_PREV_CURR_00319,615
050308_SEG_CURR_NEXT_00318,616
050308_SEG_TURN_00231,617
050673_SEG_CURR_NEXT_00439,618
050673_SEG_PREV_CURR_00440,619
050492_SEG_TURN_01311,620
050430_SEG_TURN_00050,621
050606_SEG_TURN_00012,622
050606_SEG_CURR_NEXT_00012,623
050606_SEG_PREV_CURR_00013,624
050606_SEG_TURN_00013,625
050606_SEG_PREV_CURR_00014,626
050606_SEG_CURR_NEXT_00013,627
050606_SEG_TURN_01058,628
050606_SEG_CURR_NEXT_01058,629
050606_SEG_PREV_CURR_01059,630
050606_SEG_TURN_00015,631
050606_SEG_CURR_NEXT_01057,632
050606_SEG_PREV_CURR_01058,633
050606_SEG_PREV_CURR_00015,634
050606_SEG_CURR_NEXT_00014,635
050606_SEG_PREV_CURR_00016,636
050606_SEG_CURR_NEXT_00015,637
050606_SEG_TURN_01275,638
050606_SEG_TURN_00373,639
050606_SEG_CURR_NEXT_01275,640
050606_SEG_PREV_CURR_01276,641
050606_SEG_PREV_CURR_01275,642
050606_SEG_CURR_NEXT_01274,643
050606_SEG_TURN_00662,644
050606_SEG_PREV_CURR_00374,645
050606_SEG_CURR_NEXT_00373,646
050606_SEG_PREV_CURR_00373,647
050606_SEG_CURR_NEXT_00372,648
050606_SEG_TURN_01530,649
050606_SEG_PREV_CURR_00003,650
050606_SEG_CURR_NEXT_00002,651
050606_SEG_PREV_CURR_00002,652
050606_SEG_CURR_NEXT_00001,653
050606_SEG_TURN_00002,654
050606_SEG_TURN_01692,655
050606_SEG_TURN_00027,656
050606_SEG_CURR_NEXT_00026,657
050606_SEG_PREV_CURR_00027,658
050606_SEG_CURR_NEXT_00027,659
050606_SEG_PREV_CURR_00028,660
050606_SEG_PREV_CURR_01530,661
050606_SEG_CURR_NEXT_01529,662
050606_SEG_PREV_CURR_01692,663
050606_SEG_CURR_NEXT_01691,664
050606_SEG_CURR_NEXT_01530,665
050606_SEG_PREV_CURR_01531,666
050606_SEG_CURR_NEXT_01692,667
050606_SEG_PREV_CURR_01693,668
050308_SEG_TURN_00956,669
050308_SEG_CURR_NEXT_00956,670
050308_SEG_PREV_CURR_00957,671
050673_SEG_TURN_00159,672
050615_SEG_TURN_01332,673
050615_SEG_PREV_CURR_01333,674
050615_SEG_CURR_NEXT_01332,675
050615_SEG_PREV_CURR_01332,676
050615_SEG_CURR_NEXT_01331,677
050350_SEG_TURN_01315,678
050308_SEG_TURN_00092,679
050308_SEG_PREV_CURR_00093,680
050308_SEG_CURR_NEXT_00092,681
050308_SEG_CURR_NEXT_00091,682
050308_SEG_PREV_CURR_00092,683
050350_SEG_TURN_01321,684
050615_SEG_PREV_CURR_00833,685
050615_SEG_CURR_NEXT_00832,686
050606_SEG_TURN_00709,687
050350_SEG_PREV_CURR_01315,688
050350_SEG_CURR_NEXT_01314,689
050308_SEG_CURR_NEXT_00955,690
050308_SEG_PREV_CURR_00956,691
050606_SEG_TURN_01542,692
050308_SEG_TURN_00203,693
050350_SEG_PREV_CURR_01316,694
050350_SEG_CURR_NEXT_01315,695
050606_SEG_CURR_NEXT_00709,696
050606_SEG_PREV_CURR_00710,697
050606_SEG_PREV_CURR_00709,698
050606_SEG_CURR_NEXT_00708,699
050606_SEG_CURR_NEXT_01542,700
050606_SEG_PREV_CURR_01543,701
050606_SEG_TURN_00102,702
050350_SEG_PREV_CURR_01322,703
050350_SEG_CURR_NEXT_01321,704
050606_SEG_TURN_01015,705
050606_SEG_TURN_00056,706
050606_SEG_TURN_01090,707
050615_SEG_TURN_00896,708
050615_SEG_CURR_NEXT_00896,709
050615_SEG_PREV_CURR_00897,710
050615_SEG_CURR_NEXT_00895,711
050615_SEG_PREV_CURR_00896,712
050615_SEG_TURN_00900,713
050615_SEG_PREV_CURR_00900,714
050615_SEG_CURR_NEXT_00899,715
050615_SEG_CURR_NEXT_00900,716
050615_SEG_PREV_CURR_00901,717
050350_SEG_TURN_01266,718
050673_SEG_TURN_01115,719
050430_SEG_CURR_NEXT_00878,720
050430_SEG_PREV_CURR_00879,721
050492_SEG_TURN_00450,722
050615_SEG_TURN_00629,723
050606_SEG_TURN_00125,724
050606_SEG_TURN_00871,725
050606_SEG_TURN_00474,726
050673_SEG_TURN_00707,727
050492_SEG_CURR_NEXT_00449,728
050492_SEG_PREV_CURR_00450,729
050350_SEG_TURN_00658,730
